clock_offset,imu_longitude,imu_latitude,imu_rel_height,roll,pitch,yaw,accel_x,accel_y,accel_z,accel_composite,gyro_x,gyro_z,gyro_composite,vel_north,vel_east,vel_down,vel_composite,compass_interference,temperature,tilt_inclination,imu_pos_north,imu_pos_east,imu_pos_down,delta_vel_north,delta_vel_east,delta_vel_down,pos_error,total_gyro_z,total_gyro_x,total_gyro_y,dist_travelled,direction_travel_magnetic,direction_travel_true,imu_sensor_status,imu_filter_status,altitude_counter,gps_longitude,gps_latitude,gps_timestamp,gps_heightMSL,gps_hdop,gps_pdop,gps_speed_accuracy,num_satellites,gps_vel_north,gps_vel_east,gps_vel_down,control_mode,motor_state,battery_very_low,battery_level1,battery_level2,batter_go_home,batter_land,batter_go_home_time,batter_land_time,oa_emergency_brake,hover_point_uncertainty1,hover_point_uncertainty2,hover_point_uncertainty3,hover_point_uncertainty4,hover_point_uncertainty5,hover_point_uncertainty6,velocity_uncertainty1,velocity_uncertainty3,velocity_uncertainty4,velocity_uncertainty6
-344.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-106.21645369611862,39.961194018533035,-2.224853531250119,1.0977243478920828,-2.1533991327650197,-117.8473374872386,-0.037370984,-0.019998778,-1.0081841,1.0090747,0.4099332,0.1757251,0.4460096,0.0015750516,0.003628103,0.04846735,0.048628468,1527.0,64.98,2.416580026633402,0.0,0.0,0.0,,,,False,-574.0871391824719,-562.3419943011494,-67.73353168610183,227.3194764550088,,,0.0,0.0,64475.0,-106.2164536,39.961194,2018-06-19 20:08:27+00:00,2485.657,0.75,1.27,7.3,8.0,0.0,0.0,0.02,GPS_Atti,0.0,0.0,0.0,0.0,15.0,10.0,0.0,0.0,,0.0016894911,0.0,0.0,0.0016895046,0.0,0.0016895453,0.00010559319,0.340574,0.00010559404,0.000105596584
0.039,-106.21645369245395,39.96119402595874,-0.5461423906249365,1.1192893077642834,-2.15538419266072,-117.84631036744832,-0.036579482,-0.020031143,-1.0084119,1.0092739,0.3801109,0.061249014,0.38565212,0.0038667524,0.0017415346,0.043273862,0.043481167,1534.0,64.97,2.428194335748772,0.0,0.0,0.0,,,,False,-574.0747943699499,-562.3008381342441,-67.7323684396598,227.32035925406652,,,0.0,0.0,64515.0,-106.2164536,39.961194,2018-06-19 20:08:27+00:00,2485.657,0.75,1.27,7.3,8.0,0.0,0.0,0.02,GPS_Atti,0.0,0.0,0.0,0.0,15.0,10.0,0.0,0.0,,0.0016894911,0.0,0.0,0.0016895046,0.0,0.0016895453,0.00010559319,0.340574,0.00010559404,0.000105596584
0.101,-106.21645369245395,39.96119402595874,-0.5461423906249365,1.1192893077642834,-2.15538419266072,-117.84631036744832,-0.036579482,-0.020031143,-1.0084119,1.0092739,0.3801109,0.061249014,0.38565212,0.0038667524,0.0017415346,0.043273862,0.043481167,1534.0,64.97,2.428194335748772,0.0,0.0,0.0,,,,False,-574.0747943699499,-562.3008381342441,-67.7323684396598,227.32035925406652,,,0.0,0.0,64515.0,-106.2164536,39.961194,2018-06-19 20:08:27+00:00,2485.657,0.75,1.27,7.3,8.0,0.0,0.0,0.02,GPS_Atti,0.0,0.0,0.0,0.0,15.0,10.0,0.0,0.0,,0.0016894911,0.0,0.0,0.0016895046,0.0,0.0016895453,0.00010559319,0.340574,0.00010559404,0.000105596584
0.143,-106.21645362700411,39.96119402725498,-0.9597166093749364,1.1199765118286515,-2.1770453240893075,-118.033396219192,-0.030232202,-0.039987817,-1.0113595,1.012601,-1.2970202,-16.225428,16.318064,0.0048563336,-0.002386897,0.060550015,0.06079133,1525.0,65.0,2.447746157922368,0.0002529834429623179,-0.00012434183826570688,0.0031542625830525,,,,False,-574.9168431032681,-562.3486031546134,-67.79134463723459,227.32593931568837,88.51986357481952,88.51986357481952,0.0,0.0,64555.0,-106.2164536,39.961194,2018-06-19 20:08:27+00:00,2485.657,0.75,1.27,7.3,8.0,0.0,0.0,0.02,ASST_TAKEOFF,1.0,0.0,0.0,0.0,15.0,10.0,0.0,0.0,False,0.0016894911,0.0,0.0,0.0016895046,0.0,0.0016895453,0.00010559319,0.340574,0.00010559404,0.000105596584
0.186,-106.21645362700411,39.96119402725498,-0.9597166093749364,1.1199765118286515,-2.1770453240893075,-118.033396219192,-0.030232202,-0.039987817,-1.0113595,1.012601,-1.2970202,-16.225428,16.318064,0.0048563336,-0.002386897,0.060550015,0.06079133,1525.0,65.0,2.447746157922368,0.0002529834429623179,-0.00012434183826570688,0.0031542625830525,,,,False,-574.9168431032681,-562.3486031546134,-67.79134463723459,227.32593931568837,88.51986357481952,88.51986357481952,0.0,0.0,64555.0,-106.2164536,39.961194,2018-06-19 20:08:27+00:00,2485.664,0.75,1.27,7.3,8.0,0.01,0.0,0.01,ASST_TAKEOFF,1.0,0.0,0.0,0.0,15.0,10.0,0.0,0.0,False,0.001689161,0.0,0.0,0.0016891538,0.0,0.0016891042,0.000105572566,0.34189504,0.000105572115,0.000105569015
0.221,-106.21645362383109,39.961194033075046,-0.7087400468749365,1.1243535672124638,-2.158394032530052,-117.57170905993164,-0.08764821,0.0973224,-1.012911,1.0213435,1.2160132,9.2186,9.307477,-0.0038298126,-0.00113953,0.05942085,0.059555043,1548.0,64.95,2.4331966279964825,0.0003064741826577233,-0.00030809959726596503,0.0094057961805447,,,,False,-575.2819602208124,-562.3528243295085,-67.8301455733682,227.3266407091995,,,0.0,0.0,64595.0,-106.2164536,39.961194,2018-06-19 20:08:27+00:00,2485.664,0.75,1.27,7.3,8.0,0.01,0.0,0.01,ASST_TAKEOFF,1.0,0.0,0.0,0.0,16.0,10.0,35.0,0.0,False,0.001689161,0.0,0.0,0.0016891538,0.0,0.0016891042,0.000105572566,0.34189504,0.000105572115,0.000105569015
0.311,-106.21645362383109,39.961194033075046,-0.7087400468749365,1.1243535672124638,-2.158394032530052,-117.57170905993164,-0.08764821,0.0973224,-1.012911,1.0213435,1.2160132,9.2186,9.307477,-0.0038298126,-0.00113953,0.05942085,0.059555043,1548.0,64.95,2.4331966279964825,0.0003064741826577233,-0.00030809959726596503,0.0094057961805447,,,,False,-575.2819602208124,-562.3528243295085,-67.8301455733682,227.3266407091995,,,0.0,0.0,64595.0,-106.2164536,39.961194,2018-06-19 20:08:27+00:00,2485.664,0.75,1.27,7.3,8.0,0.01,0.0,0.01,ASST_TAKEOFF,1.0,0.0,0.0,0.0,16.0,10.0,35.0,0.0,False,0.001689161,0.0,0.0,0.0016891538,0.0,0.0016891042,0.000105572566,0.34189504,0.000105572115,0.000105569015
0.352,-106.21645362204345,39.961194037396936,-1.1552732499999363,1.1272392590249392,-2.1635152429893445,-117.95014416369835,-0.015505745,-0.0664569,-1.0039469,1.0062635,-1.0291716,-17.750393,17.796913,0.015321984,-0.0023712534,0.035928946,0.03913151,1528.0,64.97,2.4390680503867395,0.0009053170335207028,-0.000491042184567192,0.0143743562656482,,,,False,-575.7265413955552,-562.3430882441779,-67.84897530996624,227.32714485465996,,,0.0,0.0,64635.0,-106.2164536,39.961194,2018-06-19 20:08:27+00:00,2485.664,0.75,1.27,7.3,8.0,0.01,0.0,0.01,ASST_TAKEOFF,1.0,0.0,0.0,0.0,16.0,10.0,35.0,0.0,False,0.001689161,0.0,0.0,0.0016891538,0.0,0.0016891042,0.000105572566,0.34189504,0.000105572115,0.000105569015
0.389,-106.21645362204345,39.961194037396936,-1.1552732499999363,1.1272392590249392,-2.1635152429893445,-117.95014416369835,-0.015505745,-0.0664569,-1.0039469,1.0062635,-1.0291716,-17.750393,17.796913,0.015321984,-0.0023712534,0.035928946,0.03913151,1528.0,64.97,2.4390680503867395,0.0009053170335207028,-0.000491042184567192,0.0143743562656482,,,,False,-575.7265413955552,-562.3430882441779,-67.84897530996624,227.32714485465996,,,0.0,0.0,64635.0,-106.2164536,39.961194,2018-06-19 20:08:27+00:00,2485.659,0.75,1.27,7.3,8.0,-0.01,0.0,0.03,ASST_TAKEOFF,1.0,0.0,0.0,0.0,16.0,10.0,35.0,0.0,False,0.0016886429,0.0,0.0,0.0016885486,0.0,0.0016885856,0.00010554018,0.34150717,0.00010553429,0.0001055366
0.429,-106.21645362128368,39.96119404194355,-1.6176755937499363,1.1064775535953233,-2.1916771496534464,-117.8026675382875,-0.06378325,0.024505196,-1.0134343,1.0157351,0.3906642,5.234946,5.2559867,0.008703623,-0.0032450943,0.04109267,0.042129457,1542.0,64.97,2.4546598311763232,0.0021550621201882,-0.0007831889367615474,0.0183808060621117,-0.0034765720608289,0.0048053928809409,0.0010989488214647,False,-576.3775600616223,-562.3763016187035,-67.90265899212373,227.32765454509945,,,0.0,0.0,64675.0,-106.2164536,39.961194,2018-06-19 20:08:27+00:00,2485.659,0.75,1.27,7.3,8.0,-0.01,0.0,0.03,ASST_TAKEOFF,1.0,0.0,0.0,0.0,16.0,10.0,35.0,0.0,False,0.0016886429,0.0,0.0,0.0016885486,0.0,0.0016885856,0.00010554018,0.34150717,0.00010553429,0.0001055366
0.518,-106.21645362128368,39.96119404194355,-1.6176755937499363,1.1064775535953233,-2.1916771496534464,-117.8026675382875,-0.06378325,0.024505196,-1.0134343,1.0157351,0.3906642,5.234946,5.2559867,0.008703623,-0.0032450943,0.04109267,0.042129457,1542.0,64.97,2.4546598311763232,0.0021550621201882,-0.0007831889367615474,0.0183808060621117,-0.0034765720608289,0.0048053928809409,0.0010989488214647,False,-576.3775600616223,-562.3763016187035,-67.90265899212373,227.32765454509945,,,0.0,0.0,64675.0,-106.2164536,39.961194,2018-06-19 20:08:27+00:00,2485.659,0.75,1.27,7.3,8.0,-0.01,0.0,0.03,ASST_TAKEOFF,1.0,0.0,0.0,0.0,16.0,10.0,35.0,0.0,False,0.0016886429,0.0,0.0,0.0016885486,0.0,0.0016885856,0.00010554018,0.34150717,0.00010553429,0.0001055366
0.56,-106.21645361980887,39.9611940442364,-1.2768552812499363,1.0920993956949565,-2.1308503481913132,-117.8983748434956,-0.027325,-0.04557693,-1.00454,1.0059446,0.25085306,-9.995104,10.002689,0.0028996342,-0.0012831413,0.01890599,0.01917005,1486.0,64.99,2.3939520991592897,0.002759339413032,-0.0010190115114276,0.0215054311681228,0.0023274167199973,0.0028434398742562,0.0232856304496919,False,-576.6254607492679,-562.342892524768,-67.93176846548168,227.32793879915377,,,0.0,0.0,64715.0,-106.2164536,39.961194,2018-06-19 20:08:27+00:00,2485.659,0.75,1.27,7.3,8.0,-0.01,0.0,0.03,ASST_TAKEOFF,1.0,0.0,0.0,0.0,16.0,10.0,35.0,0.0,False,0.0016886429,0.0,0.0,0.0016885486,0.0,0.0016885856,0.00010554018,0.34150717,0.00010553429,0.0001055366
0.602,-106.21645361980887,39.9611940442364,-1.2768552812499363,1.0920993956949565,-2.1308503481913132,-117.8983748434956,-0.027325,-0.04557693,-1.00454,1.0059446,0.25085306,-9.995104,10.002689,0.0028996342,-0.0012831413,0.01890599,0.01917005,1486.0,64.99,2.3939520991592897,0.002759339413032,-0.0010190115114276,0.0215054311681228,0.0023274167199973,0.0028434398742562,0.0232856304496919,False,-576.6254607492679,-562.342892524768,-67.93176846548168,227.32793879915377,,,0.0,0.0,64715.0,-106.2164536,39.961194,2018-06-19 20:08:27+00:00,2485.665,0.75,1.27,7.3,8.0,-0.01,0.0,0.02,ASST_TAKEOFF,1.0,0.0,0.0,0.0,16.0,10.0,35.0,0.0,False,0.0016879053,0.0,0.0,0.0016878967,0.0,0.0016878969,0.00010549408,0.34086338,0.00010549354,0.00010549356
