clock_offset,imu_longitude,imu_latitude,imu_rel_height,roll,pitch,yaw,accel_x,accel_y,accel_z,accel_composite,gyro_x,gyro_z,gyro_composite,vel_north,vel_east,vel_down,vel_composite,compass_interference,temperature,tilt_inclination,imu_pos_north,imu_pos_east,imu_pos_down,delta_vel_north,delta_vel_east,delta_vel_down,pos_error,total_gyro_z,total_gyro_x,total_gyro_y,dist_travelled,direction_travel_magnetic,direction_travel_true,imu_sensor_status,imu_filter_status,altitude_counter,gps_longitude,gps_latitude,gps_timestamp,gps_heightMSL,gps_hdop,gps_pdop,gps_speed_accuracy,num_satellites,gps_vel_north,gps_vel_east,gps_vel_down,control_mode,motor_state,battery_very_low,battery_level1,battery_level2,batter_go_home,batter_land,batter_go_home_time,batter_land_time,oa_emergency_brake,hover_point_uncertainty1,hover_point_uncertainty2,hover_point_uncertainty3,hover_point_uncertainty4,hover_point_uncertainty5,hover_point_uncertainty6,velocity_uncertainty1,velocity_uncertainty3,velocity_uncertainty4,velocity_uncertainty6
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510.474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510.513,-106.22128748309076,39.95896744028825,,-5.792827949148777,5.478692163170334,40.55582554661389,0.027013088,0.13931952,-1.027112,1.0368696,12.774399,-0.7741458,12.801313,0.013826042,-0.02641076,0.013233513,0.032616153,1505.0,64.94,7.947805711251597,0.0,0.0,0.0,,,,False,0.0,0.0,0.0,0.0,,,0.0,0.0,5403.0,,,,,,,,,,,,GPS_Atti,1.0,,,,,,,,False,,,,,,,,,,
510.556,-106.22128748309076,39.95896744028825,,-5.792827949148777,5.478692163170334,40.55582554661389,0.027013088,0.13931952,-1.027112,1.0368696,12.774399,-0.7741458,12.801313,0.013826042,-0.02641076,0.013233513,0.032616153,1505.0,64.94,7.947805711251597,0.0,0.0,0.0,,,,False,0.0,0.0,0.0,0.0,,,0.0,0.0,5403.0,-106.2212875,39.9589674,2018-06-19 20:11:27+00:00,2521.425,0.66,1.09,7.59,8.0,0.11,-0.08,0.12,GPS_Atti,1.0,,,,,,,,False,0.031999998,0.0,0.0,0.031999998,0.0,0.031999998,0.0019999999,0.99066037,0.0019999999,0.0019999999
510.596,-106.22128753171444,39.958967446958354,,-6.070736184600664,4.080475083732314,40.447572317502456,0.049137585,0.17637223,-1.0891784,1.1044598,-17.31948,-2.2425854,27.837477,-0.069627374,0.0013535284,-0.08502655,0.10990594,1514.0,65.0,7.297728039300545,0.0,0.0,0.0,,,,False,0.0,0.0,0.0,0.0042101125864859,-79.8534301030615,-79.8534301030615,0.0,0.0,5443.0,-106.2212875,39.9589674,2018-06-19 20:11:27+00:00,2521.425,0.66,1.09,7.59,8.0,0.11,-0.08,0.12,GPS_Atti,1.0,0.0,0.0,0.0,20.0,10.0,73.0,14.0,False,0.031999998,0.0,0.0,0.031999998,0.0,0.031999998,0.0019999999,0.99066037,0.0019999999,0.0019999999
510.672,-106.22128753171444,39.958967446958354,,-6.070736184600664,4.080475083732314,40.447572317502456,0.049137585,0.17637223,-1.0891784,1.1044598,-17.31948,-2.2425854,27.837477,-0.069627374,0.0013535284,-0.08502655,0.10990594,1514.0,65.0,7.297728039300545,0.0,0.0,0.0,,,,False,0.0,0.0,0.0,0.0042101125864859,-79.8534301030615,-79.8534301030615,0.0,0.0,5443.0,-106.2212875,39.9589674,2018-06-19 20:11:27+00:00,2521.425,0.66,1.09,7.59,8.0,0.11,-0.08,0.12,GPS_Atti,1.0,0.0,0.0,0.0,20.0,10.0,73.0,14.0,False,0.031999998,0.0,0.0,0.031999998,0.0,0.031999998,0.0019999999,0.99066037,0.0019999999,0.0019999999
510.713,-106.2212875048999,39.95896735941321,,-8.297070231943662,1.8986452830481808,40.38168311754213,0.07310481,0.18160349,-1.0115408,1.03031,-21.495346,-0.5717358,24.982025,-0.056947716,0.020835828,-0.1145564,0.12961614,1525.0,65.0,8.505674814117672,-0.0028484285228387,0.0010421729172094,-0.0057299176887681,,,,False,-0.028597258760783,-1.0751608950085938,-0.6360881027358118,0.0142093736790807,166.7876304844095,166.7876304844095,0.0,0.0,5483.0,-106.2212875,39.9589674,2018-06-19 20:11:27+00:00,2521.425,0.66,1.09,7.59,8.0,0.11,-0.08,0.12,GPS_Atti,1.0,0.0,0.0,0.0,20.0,10.0,73.0,14.0,False,0.031999998,0.0,0.0,0.031999998,0.0,0.031999998,0.0019999999,0.99066037,0.0019999999,0.0019999999
510.756,-106.2212875048999,39.95896735941321,,-8.297070231943662,1.8986452830481808,40.38168311754213,0.07310481,0.18160349,-1.0115408,1.03031,-21.495346,-0.5717358,24.982025,-0.056947716,0.020835828,-0.1145564,0.12961614,1525.0,65.0,8.505674814117672,-0.0028484285228387,0.0010421729172094,-0.0057299176887681,,,,False,-0.028597258760783,-1.0751608950085938,-0.6360881027358118,0.0142093736790807,166.7876304844095,166.7876304844095,0.0,0.0,5483.0,-106.2212876,39.9589673,2018-06-19 20:11:27+00:00,2521.436,0.66,1.09,7.59,8.0,-0.01,-0.03,0.07,GPS_Atti,1.0,0.0,0.0,0.0,20.0,10.0,73.0,14.0,False,0.031999998,0.0,0.0,0.031999998,0.0,0.031999998,0.0019999999,0.98946434,0.0019999999,0.0019999999
510.798,-106.2212874326794,39.95896728187322,,-9.194116449546414,2.368371835141221,40.50907619382121,0.09668325,0.16848694,-0.94873846,0.96842146,-4.113054,-0.73822355,5.4282174,-0.036972158,0.06445292,-0.09606786,0.12145021,1509.0,64.98,9.484245766199106,-0.0075447088054261,0.0053068704187921,-0.0162617735975345,,,,False,-0.094099224040292,-2.3556590390435304,-1.098742259953724,0.0248032140587201,144.4761975416407,144.4761975416407,0.0,0.0,5523.0,-106.2212876,39.9589673,2018-06-19 20:11:27+00:00,2521.436,0.66,1.09,7.59,8.0,-0.01,-0.03,0.07,GPS_Atti,1.0,0.0,0.0,0.0,20.0,10.0,73.0,14.0,False,0.031999998,0.0,0.0,0.031999998,0.0,0.031999998,0.0019999999,0.98946434,0.0019999999,0.0019999999
510.874,-106.2212874326794,39.95896728187322,,-9.194116449546414,2.368371835141221,40.50907619382121,0.09668325,0.16848694,-0.94873846,0.96842146,-4.113054,-0.73822355,5.4282174,-0.036972158,0.06445292,-0.09606786,0.12145021,1509.0,64.98,9.484245766199106,-0.0075447088054261,0.0053068704187921,-0.0162617735975345,,,,False,-0.094099224040292,-2.3556590390435304,-1.098742259953724,0.0248032140587201,144.4761975416407,144.4761975416407,0.0,0.0,5523.0,-106.2212876,39.9589673,2018-06-19 20:11:27+00:00,2521.436,0.66,1.09,7.59,8.0,-0.01,-0.03,0.07,GPS_Atti,1.0,0.0,0.0,0.0,20.0,10.0,73.0,14.0,False,0.031999998,0.0,0.0,0.031999998,0.0,0.031999998,0.0019999999,0.98946434,0.0019999999,0.0019999999
