clock_offset,imu_longitude,imu_latitude,roll,pitch,yaw,accel_x,accel_y,accel_z,accel_composite,gyro_composite,vel_composite,compass_interference,temperature,tilt_inclination,imu_pos_north,imu_pos_east,imu_pos_down,delta_vel_north,delta_vel_east,delta_vel_down,pos_error,total_gyro_z,total_gyro_x,total_gyro_y,dist_travelled,direction_travel_magnetic,direction_travel_true,altitude_counter,gps_longitude,gps_latitude,gps_timestamp,gps_heightMSL,gps_hdop,gps_pdop,gps_speed_accuracy,num_satellites,gps_vel_north,gps_vel_east,gps_vel_down,control_mode,battery_very_low,battery_level1,batter_go_home,batter_go_home_time,batter_land_time,oa_emergency_brake,hover_point_uncertainty3,velocity_uncertainty3,flight_sequence,anomaly_label,anomaly_score
-344.35,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,True,,,flight03,1,0.03378510420019787
0.0,-106.21645369611862,39.96119401853304,1.0977243478920828,-2.15339913276502,-117.8473374872386,-0.037370984,-0.019998778,-1.0081841,1.0090747,0.4460096,0.048628468,1527.0,64.98,2.416580026633402,0.0,0.0,0.0,,,,False,-574.0871391824719,-562.3419943011494,-67.73353168610183,227.3194764550088,,,64475.0,-106.2164536,39.961194,2018-06-19 20:08:27+00:00,2485.657,0.75,1.27,7.3,8.0,0.0,0.0,0.02,GPS_Atti,0.0,0.0,15.0,0.0,0.0,True,0.0,0.340574,flight03,1,0.03378510420019787
0.039,-106.21645369245395,39.96119402595874,1.1192893077642834,-2.15538419266072,-117.84631036744832,-0.036579482,-0.020031143,-1.0084119,1.0092739,0.38565212,0.043481167,1534.0,64.97,2.428194335748772,0.0,0.0,0.0,,,,False,-574.0747943699499,-562.3008381342441,-67.7323684396598,227.3203592540665,,,64515.0,-106.2164536,39.961194,2018-06-19 20:08:27+00:00,2485.657,0.75,1.27,7.3,8.0,0.0,0.0,0.02,GPS_Atti,0.0,0.0,15.0,0.0,0.0,True,0.0,0.340574,flight03,1,0.03215747024694171
0.101,-106.21645369245395,39.96119402595874,1.1192893077642834,-2.15538419266072,-117.84631036744832,-0.036579482,-0.020031143,-1.0084119,1.0092739,0.38565212,0.043481167,1534.0,64.97,2.428194335748772,0.0,0.0,0.0,,,,False,-574.0747943699499,-562.3008381342441,-67.7323684396598,227.3203592540665,,,64515.0,-106.2164536,39.961194,2018-06-19 20:08:27+00:00,2485.657,0.75,1.27,7.3,8.0,0.0,0.0,0.02,GPS_Atti,0.0,0.0,15.0,0.0,0.0,True,0.0,0.340574,flight03,1,0.03215747024694171
0.143,-106.21645362700411,39.96119402725498,1.1199765118286515,-2.1770453240893075,-118.033396219192,-0.030232202,-0.039987817,-1.0113595,1.012601,16.318064,0.06079133,1525.0,65.0,2.447746157922368,0.0002529834429623,-0.0001243418382657,0.0031542625830525,,,,False,-574.9168431032681,-562.3486031546134,-67.79134463723459,227.3259393156884,88.51986357481952,88.51986357481952,64555.0,-106.2164536,39.961194,2018-06-19 20:08:27+00:00,2485.657,0.75,1.27,7.3,8.0,0.0,0.0,0.02,ASST_TAKEOFF,0.0,0.0,15.0,0.0,0.0,False,0.0,0.340574,flight03,1,0.02999749338230495
0.186,-106.21645362700411,39.96119402725498,1.1199765118286515,-2.1770453240893075,-118.033396219192,-0.030232202,-0.039987817,-1.0113595,1.012601,16.318064,0.06079133,1525.0,65.0,2.447746157922368,0.0002529834429623,-0.0001243418382657,0.0031542625830525,,,,False,-574.9168431032681,-562.3486031546134,-67.79134463723459,227.3259393156884,88.51986357481952,88.51986357481952,64555.0,-106.2164536,39.961194,2018-06-19 20:08:27+00:00,2485.664,0.75,1.27,7.3,8.0,0.01,0.0,0.01,ASST_TAKEOFF,0.0,0.0,15.0,0.0,0.0,False,0.0,0.34189504,flight03,1,0.031032870080936026
0.221,-106.21645362383109,39.961194033075046,1.1243535672124638,-2.158394032530052,-117.57170905993164,-0.08764821,0.0973224,-1.012911,1.0213435,9.307477,0.059555043,1548.0,64.95,2.4331966279964825,0.0003064741826577,-0.0003080995972659,0.0094057961805447,,,,False,-575.2819602208124,-562.3528243295085,-67.8301455733682,227.3266407091995,,,64595.0,-106.2164536,39.961194,2018-06-19 20:08:27+00:00,2485.664,0.75,1.27,7.3,8.0,0.01,0.0,0.01,ASST_TAKEOFF,0.0,0.0,16.0,35.0,0.0,False,0.0,0.34189504,flight03,1,0.024091340885629586
0.311,-106.21645362383109,39.961194033075046,1.1243535672124638,-2.158394032530052,-117.57170905993164,-0.08764821,0.0973224,-1.012911,1.0213435,9.307477,0.059555043,1548.0,64.95,2.4331966279964825,0.0003064741826577,-0.0003080995972659,0.0094057961805447,,,,False,-575.2819602208124,-562.3528243295085,-67.8301455733682,227.3266407091995,,,64595.0,-106.2164536,39.961194,2018-06-19 20:08:27+00:00,2485.664,0.75,1.27,7.3,8.0,0.01,0.0,0.01,ASST_TAKEOFF,0.0,0.0,16.0,35.0,0.0,False,0.0,0.34189504,flight03,1,0.024234740378686004
0.352,-106.21645362204345,39.961194037396936,1.1272392590249392,-2.1635152429893445,-117.95014416369835,-0.015505745,-0.0664569,-1.0039469,1.0062635,17.796913,0.03913151,1528.0,64.97,2.4390680503867395,0.0009053170335207,-0.0004910421845671,0.0143743562656482,,,,False,-575.7265413955552,-562.3430882441779,-67.84897530996624,227.32714485466,,,64635.0,-106.2164536,39.961194,2018-06-19 20:08:27+00:00,2485.664,0.75,1.27,7.3,8.0,0.01,0.0,0.01,ASST_TAKEOFF,0.0,0.0,16.0,35.0,0.0,False,0.0,0.34189504,flight03,1,0.030018819124719598
0.389,-106.21645362204345,39.961194037396936,1.1272392590249392,-2.1635152429893445,-117.95014416369835,-0.015505745,-0.0664569,-1.0039469,1.0062635,17.796913,0.03913151,1528.0,64.97,2.4390680503867395,0.0009053170335207,-0.0004910421845671,0.0143743562656482,,,,False,-575.7265413955552,-562.3430882441779,-67.84897530996624,227.32714485466,,,64635.0,-106.2164536,39.961194,2018-06-19 20:08:27+00:00,2485.659,0.75,1.27,7.3,8.0,-0.01,0.0,0.03,ASST_TAKEOFF,0.0,0.0,16.0,35.0,0.0,False,0.0,0.34150717,flight03,1,0.028981382056770033
0.429,-106.21645362128368,39.96119404194355,1.1064775535953233,-2.1916771496534464,-117.8026675382875,-0.06378325,0.024505196,-1.0134343,1.0157351,5.2559867,0.042129457,1542.0,64.97,2.4546598311763232,0.0021550621201882,-0.0007831889367615,0.0183808060621117,-0.0034765720608289,0.0048053928809409,0.0010989488214647,False,-576.3775600616223,-562.3763016187035,-67.90265899212373,227.32765454509945,,,64675.0,-106.2164536,39.961194,2018-06-19 20:08:27+00:00,2485.659,0.75,1.27,7.3,8.0,-0.01,0.0,0.03,ASST_TAKEOFF,0.0,0.0,16.0,35.0,0.0,False,0.0,0.34150717,flight03,1,0.025576583123093743
0.518,-106.21645362128368,39.96119404194355,1.1064775535953233,-2.1916771496534464,-117.8026675382875,-0.06378325,0.024505196,-1.0134343,1.0157351,5.2559867,0.042129457,1542.0,64.97,2.4546598311763232,0.0021550621201882,-0.0007831889367615,0.0183808060621117,-0.0034765720608289,0.0048053928809409,0.0010989488214647,False,-576.3775600616223,-562.3763016187035,-67.90265899212373,227.32765454509945,,,64675.0,-106.2164536,39.961194,2018-06-19 20:08:27+00:00,2485.659,0.75,1.27,7.3,8.0,-0.01,0.0,0.03,ASST_TAKEOFF,0.0,0.0,16.0,35.0,0.0,False,0.0,0.34150717,flight03,1,0.025576583123093743
0.56,-106.21645361980887,39.9611940442364,1.0920993956949565,-2.130850348191313,-117.8983748434956,-0.027325,-0.04557693,-1.00454,1.0059446,10.002689,0.01917005,1486.0,64.99,2.3939520991592897,0.002759339413032,-0.0010190115114276,0.0215054311681228,0.0023274167199973,0.0028434398742562,0.0232856304496919,False,-576.6254607492679,-562.342892524768,-67.93176846548168,227.32793879915377,,,64715.0,-106.2164536,39.961194,2018-06-19 20:08:27+00:00,2485.659,0.75,1.27,7.3,8.0,-0.01,0.0,0.03,ASST_TAKEOFF,0.0,0.0,16.0,35.0,0.0,False,0.0,0.34150717,flight03,1,0.024778000696004443
0.602,-106.21645361980887,39.9611940442364,1.0920993956949565,-2.130850348191313,-117.8983748434956,-0.027325,-0.04557693,-1.00454,1.0059446,10.002689,0.01917005,1486.0,64.99,2.3939520991592897,0.002759339413032,-0.0010190115114276,0.0215054311681228,0.0023274167199973,0.0028434398742562,0.0232856304496919,False,-576.6254607492679,-562.342892524768,-67.93176846548168,227.32793879915377,,,64715.0,-106.2164536,39.961194,2018-06-19 20:08:27+00:00,2485.665,0.75,1.27,7.3,8.0,-0.01,0.0,0.02,ASST_TAKEOFF,0.0,0.0,16.0,35.0,0.0,False,0.0,0.34086338,flight03,1,0.022472718044281303
