Clock:Tick#,Clock:offsetTime,IMU_ATTI(0):Longitude,IMU_ATTI(0):Latitude,IMU_ATTI(0):press:D,IMU_ATTI(0):alti:D,IMU_ATTI(0):relativeHeight:C,IMU_ATTI(0):absoluteHeight:C,IMU_ATTI(0):numSats,IMU_ATTI(0):roll:C,IMU_ATTI(0):pitch:C,IMU_ATTI(0):yaw:C,IMU_ATTI(0):accelX,IMU_ATTI(0):accelY,IMU_ATTI(0):accelZ,IMU_ATTI(0):accelComposite:C,IMU_ATTI(0):gyroX,IMU_ATTI(0):gyroY,IMU_ATTI(0):gyroZ,IMU_ATTI(0):gyroComposite:C,IMU_ATTI(0):velN,IMU_ATTI(0):velE,IMU_ATTI(0):velD,IMU_ATTI(0):velComposite:C,IMU_ATTI(0):velH:C,IMU_ATTI(0):magX,IMU_ATTI(0):magY,IMU_ATTI(0):magZ,IMU_ATTI(0):magMod:C,IMU_ATTI(0):temperature,IMU_ATTI(0):yawUnWrapped:C,IMU_ATTI(0):tiltInclination:C,IMU_ATTI(0):tiltDirectionEarthFrame:C,IMU_ATTI(0):tiltDirectionBodyFrame:C,IMU_ATTI(0):yaw360:C,IMU_ATTI(0):magYaw:C,IMU_ATTI(0):Yaw-magYaw:C,IMUCalcs(0):PosN:C,IMUCalcs(0):PosE:C,IMUCalcs(0):PosD:C,IMUCalcs(0):height:C,IMUCalcs(0):velN:C,IMUCalcs(0):velE:C,IMUCalcs(0):velD:C,IMUCalcs(0):diffVelN:C,IMUCalcs(0):diffVelE:C,IMUCalcs(0):diffVelD:C,IMUCalcs(0):Lat:C,IMUCalcs(0):Long:C,IMUCalcs(0):VelocityError:C,IMUCalcs(0):PositionError:C,IMUCalcs(0):totalGyroZ:C,IMUCalcs(0):totalGyroX:C,IMUCalcs(0):totalGyroY:C,IMU_ATTI(0):distanceHP:C,IMU_ATTI(0):distanceTravelled:C,IMU_ATTI(0):directionOfTravel[mag]:C,IMU_ATTI(0):directionOfTravel[true]:C,IMU_ATTI(0):quatW:D,IMU_ATTI(0):quatX:D,IMU_ATTI(0):quatY:D,IMU_ATTI(0):quatZ:D,IMU_ATTI(0):agX:D,IMU_ATTI(0):agY:D,IMU_ATTI(0):agZ:D,IMU_ATTI(0):gbX:D,IMU_ATTI(0):gbY:D,IMU_ATTI(0):gbZ:D,IMU_ATTI(0):ty:D,IMU_ATTI(0):tz:D,IMU_ATTI(0):sensor_stat:D,IMU_ATTI(0):filter_stat:D,IMU_ATTI(0):atti_cnt:D,GPS:Long,GPS:Lat,GPS:Date,GPS:Time,GPS:dateTimeStamp,GPS:heightMSL,GPS:hDOP,GPS:pDOP,GPS:sAcc,GPS:numGPS,GPS:numGLNAS,GPS:numSV,GPS:velN,GPS:velE,GPS:velD,GPS:rawDate,GPS:rawTime,Controller:ctrl_tick:D,Controller:ctrl_pitch:D,Controller:ctrl_roll:D,Controller:ctrl_yaw:D,Controller:ctrl_thr:D,Controller:ctrl_mode,Controller:mode_switch:D,Controller:motor_state:D,Controller:sig_level:D,Controller:ctrl_level:D,Controller:sim_model:D,Controller:max_height:D,Controller:max_radius:D,Controller:D2H_x:D,Controller:D2H_y:D,Controller:D2H_ready_type:D,Controller:act_req_id:D,Controller:act_act_id:D,Controller:cmd_mod:D,Controller:mod_req_id:D,Controller:is_soaring_up:D,Controller:eagle_temp_level:D,BatteryStatus:not_ready,BatteryStatus:comm_err,BatteryStatus:first_auth,BatteryStatus:auth_fail,BatteryStatus:need_re,BatteryStatus:volVerylow,BatteryStatus:volNotsafe,BatteryStatus:volLevel1:D,BatteryStatus:vollevel2:D,BatteryStatus:capLevel1:D,BatteryStatus:capLevel2:D,BatteryStatus:smartCap1:D,BatteryStatus:smartCap2:D,BatteryStatus:d_flg:D,BatteryStatus:ccsc:D,BatteryStatus:present:D,BatteryStatus:all:D,SMART_BATT:goHome%,SMART_BATT:land%,SMART_BATT:goHomeTime,SMART_BATT:landTime,OA:avoidObst,OA:emergBrake,OA:radiusLimit,OA:airportLimit,OA:groundForceLanding,OA:horizNearBoundary,OA:vertLowLimit,OA:vertAirportLimit,OA:roofLimit,OA:hitGroundLimit,MVO:velX,MVO:velY,MVO:velZ,MVO:posX,MVO:posY,MVO:posZ,MVO:hoverPointUncertainty1,MVO:hoverPointUncertainty2,MVO:hoverPointUncertainty3,MVO:hoverPointUncertainty4,MVO:hoverPointUncertainty5,MVO:hoverPointUncertainty6,MVO:velocityUncertainty1,MVO:velocityUncertainty2,MVO:velocityUncertainty3,MVO:velocityUncertainty4,MVO:velocityUncertainty5,MVO:velocityUncertainty6,MVO:height,MVO:heightUncertainty,Motor:Speed:RFront,Motor:Speed:LFront,Motor:Speed:LBack,Motor:Speed:RBack,Motor:EscTemp:RFront,Motor:EscTemp:LFront,Motor:EscTemp:LBack,Motor:EscTemp:RBack,Motor:PPMrecv:RFront,Motor:PPMrecv:LFront,Motor:PPMrecv:LBack,Motor:PPMrecv:RBack,Motor:PPMsend:RFront,Motor:PPMsend:LFront,Motor:PPMsend:LBack,Motor:PPMsend:RBack,Motor:V_out:RFront,Motor:V_out:LFront,Motor:V_out:LBack,Motor:V_out:RBack,Motor:Volts:RFront,Motor:Volts:LFront,Motor:Volts:LBack,Motor:Volts:RBack,Motor:Current:RFront,Motor:Current:LFront,Motor:Current:LBack,Motor:Current:RBack,Motor:Status:RFront,Motor:Status:LFront,Motor:Status:LBack,Motor:Status:RBack,usonic:usonic_h,MotorCtrl:PWM:RFront,MotorCtrl:PWM:LFront,MotorCtrl:PWM:LBack,MotorCtrl:PWM:RBack,ATTI_MINI0:s_qw0,ATTI_MINI0:s_qx0,ATTI_MINI0:s_qy0,ATTI_MINI0:s_qz0,ATTI_MINI0:roll:C,ATTI_MINI0:pitch:C,ATTI_MINI0:yaw:C,ATTI_MINI0:s_pgz0,ATTI_MINI0:s_vgz0,ATTI_MINI0:s_agz0,ATTI_MINI0:s_rsv00,ATTI_MINI0:s_rsv10,ATTI_MINI0:s_cnt0,BatteryInfo:Vol:D,BatteryInfo:Current:D,BatteryInfo:R_time,BatteryInfo:CellVol:D,BatteryInfo:LowVolThreshold:D,BatteryInfo:AdVol:D,BatteryInfo:BatVol:D,BatteryInfo:BatCurrent:D,BatteryInfo:BatCap:D,BatteryInfo:CapPercnt:D,BatteryInfo:BatTemp:D,BatteryInfo:BatAuth:D,BatteryInfo:BatDataCnt:D,BatteryInfo:FullCap:D,Attribute|Value,ConvertDatV3,4.3.0
0,-344.350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1549573000,.000,-106.21645369611862,39.961194018533035,2396.9487,2398.0613,-2.224853531250119,,14,1.0977243478920828,-2.1533991327650197,-117.84733748723859,-0.037370984,-0.019998778,-1.0081841,1.0090747,0.4099332,1.5282548E-4,0.1757251,0.4460096,0.0015750516,0.003628103,0.04846735,0.048628468,0.003955239569347723,-380,612,1347,1527.0,64.98,-117.84733748723859,2.416580026633402,-90.84459063554787,27.002746851690716,242.15266251276142,-126.31627239913055,-8.468934911891964,0.0,0.0,0.0,-0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,false,-574.0871391824719,-562.3419943011494,-67.73353168610183,,227.31947645500878,,,0.51591057,-0.011149485,-0.017902045,-0.8563828,7.223985E-4,-0.007965883,0.019820213,0.0053455695,-0.008599803,0.0017706691,100,4688,0,0,64475,-106.2164536,39.961194,20180619,200827,2018-06-19T20:08:27Z,2485.657,0.75,1.27,7.3,8,6,14,0.0,0.0,0.02,20180619,200827,16250,0.0,0.0,0.0,0.0,GPS_Atti,2,0,5,5,0,400,805,-3.3733857,-16.425047,1.0,16,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65536,15,10,0,0,,,,,,,,,,,0.05,-0.04,-0.07,0.022699332,-0.082349755,0.003119915,0.0016894911,0.0,0.0,0.0016895046,0.0,0.0016895453,1.0559319E-4,0.0,0.340574,1.0559404E-4,0.0,1.05596584E-4,,1000000.0,0,0,0,0,77,57,56,78,49.270832,49.427082,49.427082,49.270832,48.958332,48.958332,48.958332,48.958332,0.0,0.0,0.0,0.0,1661.9,1666.2,1666.2,1662.5,2.15,3.0,1.04,2.02,0,0,0,0,0.099,,,,,0.32699266,-0.014507138,-0.015176914,-0.9447936,2.1872567399739076,-1.0027145081295743,141.83771456013932,2397.211,0.036579706,0.010559671,0,0,65009,16773.0,1569.5533,0,4190,12000.0,16888,16773,-1574,5480,91,30,1,317,6022,Firmware Date| Apr 29 2018
1549749105,.039,-106.21645369245395,39.96119402595874,2397.5115,2398.0562,-0.5461423906249365,,14,1.1192893077642834,-2.15538419266072,-117.84631036744832,-0.036579482,-0.020031143,-1.0084119,1.0092739,0.3801109,0.022177145,0.061249014,0.38565212,0.0038667524,0.0017415346,0.043273862,0.043481167,0.0042408390288617885,-380,615,1353,1534.0,64.97,-117.84631036744832,2.428194335748772,-90.41156972190095,27.43474064554738,242.15368963255168,-126.22387052658279,-8.377560159134461,0.0,0.0,0.0,-0.0,NaN,NaN,NaN,NaN,NaN,NaN,39.96119402595874,-106.21645369245395,false,false,-574.0747943699499,-562.3008381342441,-67.7323684396598,,227.32035925406652,,,0.515914,-0.011067009,-0.018072208,-0.85637826,-0.020059898,-0.017737716,0.016202927,0.0053339796,-0.008590275,0.0017710194,100,4689,0,0,64515,-106.2164536,39.961194,20180619,200827,2018-06-19T20:08:27Z,2485.657,0.75,1.27,7.3,8,6,14,0.0,0.0,0.02,20180619,200827,16250,0.0,0.0,0.0,0.0,GPS_Atti,2,0,5,5,0,400,805,-3.3733857,-16.425047,1.0,16,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65536,15,10,0,0,,,,,,,,,,,0.05,-0.04,-0.07,0.022699332,-0.082349755,0.003119915,0.0016894911,0.0,0.0,0.0016895046,0.0,0.0016895453,1.0559319E-4,0.0,0.340574,1.0559404E-4,0.0,1.05596584E-4,,1000000.0,1800,26491,6676,0,77,52,56,77,58.802082,59.0625,59.010418,58.854168,58.4375,58.4375,58.4375,58.4375,0.1,0.4,0.4,0.0,1653.9,1650.2,1660.7,1653.9,7.18,4.58,1.78,2.02,0,0,0,0,0.099,,,,,0.32699266,-0.014507138,-0.015176914,-0.9447936,2.1872567399739076,-1.0027145081295743,141.83771456013932,2397.211,0.036579706,0.010559671,0,0,65009,16773.0,1569.5533,0,4190,12000.0,16888,16773,-1574,5480,91,30,1,317,6022,ACType|P4PV2
1550027384,.101,-106.21645369245395,39.96119402595874,2397.5115,2398.0562,-0.5461423906249365,,14,1.1192893077642834,-2.15538419266072,-117.84631036744832,-0.036579482,-0.020031143,-1.0084119,1.0092739,0.3801109,0.022177145,0.061249014,0.38565212,0.0038667524,0.0017415346,0.043273862,0.043481167,0.0042408390288617885,-380,615,1353,1534.0,64.97,-117.84631036744832,2.428194335748772,-90.41156972190095,27.43474064554738,242.15368963255168,-126.22387052658279,-8.377560159134461,0.0,0.0,0.0,-0.0,NaN,NaN,NaN,NaN,NaN,NaN,39.96119402595874,-106.21645369245395,false,false,-574.0747943699499,-562.3008381342441,-67.7323684396598,,227.32035925406652,,,0.515914,-0.011067009,-0.018072208,-0.85637826,-0.020059898,-0.017737716,0.016202927,0.0053339796,-0.008590275,0.0017710194,100,4689,0,0,64515,-106.2164536,39.961194,20180619,200827,2018-06-19T20:08:27Z,2485.657,0.75,1.27,7.3,8,6,14,0.0,0.0,0.02,20180619,200827,16250,0.0,0.0,0.0,0.0,GPS_Atti,2,0,5,5,0,400,805,-3.3733857,-16.425047,1.0,16,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65536,15,10,0,0,,,,,,,,,,,0.05,-0.04,-0.07,0.022699332,-0.082349755,0.003119915,0.0016894911,0.0,0.0,0.0016895046,0.0,0.0016895453,1.0559319E-4,0.0,0.340574,1.0559404E-4,0.0,1.05596584E-4,,1000000.0,1800,26491,6676,0,77,52,56,77,58.802082,59.0625,59.010418,58.854168,58.4375,58.4375,58.4375,58.4375,0.1,0.4,0.4,0.0,1653.9,1650.2,1660.7,1653.9,7.18,4.58,1.78,2.02,0,0,0,0,0.099,,,,,0.32699266,-0.014507138,-0.015176914,-0.9447936,2.1872567399739076,-1.0027145081295743,141.83771456013932,2397.211,0.036579706,0.010559671,0,0,65009,16773.0,1569.5533,0,4190,12000.0,16888,16773,-1574,5480,91,30,1,317,6022,dateTime|2018-6-19 20:5:25 GMT
1550218044,.143,-106.21645362700413,39.96119402725498,2397.098,2398.0222,-0.9597166093749365,,14,1.1199765118286515,-2.1770453240893075,-118.033396219192,-0.030232202,-0.039987817,-1.0113595,1.012601,-1.2970202,-1.154299,-16.225428,16.318064,0.0048563336,-0.002386897,0.060550015,0.06079133,0.0054112156382051125,-380,606,1347,1525.0,65.0,-118.033396219192,2.447746157922368,-90.81818455189106,27.215211667300938,241.966603780808,-126.65850955194001,-8.625113332748015,2.529834429623179E-4,-1.2434183826570688E-4,0.003154262583052514,-0.003154262583052514,NaN,NaN,NaN,NaN,NaN,NaN,39.961194028233884,-106.21645369391288,false,false,-574.9168431032681,-562.3486031546134,-67.79134463723459,,227.32593931568837,88.51986357481952,88.51986357481952,0.51451164,-0.011255451,-0.018156514,-0.8572173,0.81430376,-0.002843231,-0.03459549,0.0053354944,-0.008591425,0.0017715328,100,4689,0,0,64555,-106.2164536,39.961194,20180619,200827,2018-06-19T20:08:27Z,2485.657,0.75,1.27,7.3,8,6,14,0.0,0.0,0.02,20180619,200827,16260,0.0,0.0,0.0,0.0,ASST_TAKEOFF,2,1,5,5,0,400,805,-3.3724148,-16.41915,1.0,6,1,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65536,15,10,0,0,false,false,false,false,false,false,false,false,false,false,0.05,-0.04,-0.07,0.022699332,-0.082349755,0.003119915,0.0016894911,0.0,0.0,0.0016895046,0.0,0.0016895453,1.0559319E-4,0.0,0.340574,1.0559404E-4,0.0,1.05596584E-4,,1000000.0,167,147,166,209,71,52,48,71,59.0625,59.322918,59.322918,59.114582,58.75,58.75,58.75,58.75,0.1,0.1,0.1,0.1,1642.9,1647.2,1649.6,1644.7,11.18,10.1,10.68,11.27,0,0,0,0,0.099,0.8,0.8,0.8,0.8,0.32699266,-0.014507138,-0.015176914,-0.9447936,2.1872567399739076,-1.0027145081295743,141.83771456013932,2397.211,0.036579706,0.010559671,0,0,65009,16773.0,1569.5533,0,4190,12000.0,16888,16773,-1574,5480,91,30,1,317,6022,
1550408360,.186,-106.21645362700413,39.96119402725498,2397.098,2398.0222,-0.9597166093749365,,14,1.1199765118286515,-2.1770453240893075,-118.033396219192,-0.030232202,-0.039987817,-1.0113595,1.012601,-1.2970202,-1.154299,-16.225428,16.318064,0.0048563336,-0.002386897,0.060550015,0.06079133,0.0054112156382051125,-380,606,1347,1525.0,65.0,-118.033396219192,2.447746157922368,-90.81818455189106,27.215211667300938,241.966603780808,-126.65850955194001,-8.625113332748015,2.529834429623179E-4,-1.2434183826570688E-4,0.003154262583052514,-0.003154262583052514,NaN,NaN,NaN,NaN,NaN,NaN,39.961194028233884,-106.21645369391288,false,false,-574.9168431032681,-562.3486031546134,-67.79134463723459,,227.32593931568837,88.51986357481952,88.51986357481952,0.51451164,-0.011255451,-0.018156514,-0.8572173,0.81430376,-0.002843231,-0.03459549,0.0053354944,-0.008591425,0.0017715328,100,4689,0,0,64555,-106.2164536,39.961194,20180619,200827,2018-06-19T20:08:27Z,2485.664,0.75,1.27,7.3,8,6,14,0.01,0.0,0.01,20180619,200827,16260,0.0,0.0,0.0,0.0,ASST_TAKEOFF,2,1,5,5,0,400,805,-3.3724148,-16.41915,1.0,6,1,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65536,15,10,0,0,false,false,false,false,false,false,false,false,false,false,0.04,-0.04,-0.05,0.022697825,-0.0823496,0.0031210138,0.001689161,0.0,0.0,0.0016891538,0.0,0.0016891042,1.05572566E-4,0.0,0.34189504,1.05572115E-4,0.0,1.05569015E-4,,1000000.0,167,147,166,209,71,52,48,71,59.0625,59.322918,59.322918,59.114582,58.75,58.75,58.75,58.75,0.1,0.1,0.1,0.1,1642.9,1647.2,1649.6,1644.7,11.18,10.1,10.68,11.27,0,0,0,0,0.099,0.8,0.8,0.8,0.8,0.32699266,-0.014507138,-0.015176914,-0.9447936,2.1872567399739076,-1.0027145081295743,141.83771456013932,2397.211,0.036579706,0.010559671,0,0,65009,16773.0,1569.5533,0,4190,12000.0,16888,16773,-1574,5480,91,30,1,317,6022,
1550566714,.221,-106.21645362383107,39.961194033075046,2397.3489,2398.0107,-0.7087400468749365,,14,1.1243535672124638,-2.158394032530052,-117.57170905993165,-0.08764821,0.0973224,-1.012911,1.0213435,1.2160132,0.40968463,9.2186,9.307477,-0.0038298126,-0.00113953,0.05942085,0.059555043,0.003995746983068947,-366,621,1370,1548.0,64.95,-117.57170905993165,2.4331966279964825,-90.06383319620217,27.507875863729478,242.42829094006834,-125.12052120038217,-7.548812140450522,3.064741826577233E-4,-3.0809959726596503E-4,0.009405796180544712,-0.009405796180544712,NaN,NaN,NaN,NaN,NaN,NaN,39.961194028714935,-106.21645369606894,false,false,-575.2819602208124,-562.3528243295085,-67.8301455733682,,227.3266407091995,,,0.5179633,-0.011023226,-0.018150065,-0.85513926,0.4980462,-0.1412156,-0.039732933,0.005330877,-0.008594793,0.0017724475,100,4689,0,0,64595,-106.2164536,39.961194,20180619,200827,2018-06-19T20:08:27Z,2485.664,0.75,1.27,7.3,8,6,14,0.01,0.0,0.01,20180619,200827,16260,0.0,0.0,0.0,0.0,ASST_TAKEOFF,2,1,5,5,0,400,805,-3.3724148,-16.41915,1.0,6,1,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65536,16,10,35,0,false,false,false,false,false,false,false,false,false,false,0.04,-0.04,-0.05,0.022697825,-0.0823496,0.0031210138,0.001689161,0.0,0.0,0.0016891538,0.0,0.0016891042,1.05572566E-4,0.0,0.34189504,1.05572115E-4,0.0,1.05569015E-4,,1000000.0,167,147,166,209,71,52,48,71,59.0625,59.322918,59.322918,59.114582,58.75,58.75,58.75,58.75,0.1,0.1,0.1,0.1,1642.9,1647.2,1649.6,1644.7,11.18,10.1,10.68,11.27,0,0,0,0,0.099,1.46,1.46,1.46,1.46,0.32699266,-0.014507138,-0.015176914,-0.9447936,2.1872567399739076,-1.0027145081295743,141.83771456013932,2397.211,0.036579706,0.010559671,0,0,65009,16741.0,1570.2631,0,4190,12000.0,16797,16741,-1574,5480,91,30,1,318,6022,
1550973678,.311,-106.21645362383107,39.961194033075046,2397.3489,2398.0107,-0.7087400468749365,,14,1.1243535672124638,-2.158394032530052,-117.57170905993165,-0.08764821,0.0973224,-1.012911,1.0213435,1.2160132,0.40968463,9.2186,9.307477,-0.0038298126,-0.00113953,0.05942085,0.059555043,0.003995746983068947,-366,621,1370,1548.0,64.95,-117.57170905993165,2.4331966279964825,-90.06383319620217,27.507875863729478,242.42829094006834,-125.12052120038217,-7.548812140450522,3.064741826577233E-4,-3.0809959726596503E-4,0.009405796180544712,-0.009405796180544712,NaN,NaN,NaN,NaN,NaN,NaN,39.961194028714935,-106.21645369606894,false,false,-575.2819602208124,-562.3528243295085,-67.8301455733682,,227.3266407091995,,,0.5179633,-0.011023226,-0.018150065,-0.85513926,0.4980462,-0.1412156,-0.039732933,0.005330877,-0.008594793,0.0017724475,100,4689,0,0,64595,-106.2164536,39.961194,20180619,200827,2018-06-19T20:08:27Z,2485.664,0.75,1.27,7.3,8,6,14,0.01,0.0,0.01,20180619,200827,16260,0.0,0.0,0.0,0.0,ASST_TAKEOFF,2,1,5,5,0,400,805,-3.3724148,-16.41915,1.0,6,1,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65536,16,10,35,0,false,false,false,false,false,false,false,false,false,false,0.04,-0.04,-0.05,0.022697825,-0.0823496,0.0031210138,0.001689161,0.0,0.0,0.0016891538,0.0,0.0016891042,1.05572566E-4,0.0,0.34189504,1.05572115E-4,0.0,1.05569015E-4,,1000000.0,183,265,182,171,75,50,52,73,59.375,59.635418,59.583332,59.375,59.010418,59.010418,59.010418,59.010418,0.1,0.1,0.1,0.1,1644.1,1647.8,1648.4,1645.3,11.03,9.72,10.86,11.03,0,0,0,0,0.099,1.46,1.46,1.46,1.46,0.32699266,-0.014507138,-0.015176914,-0.9447936,2.1872567399739076,-1.0027145081295743,141.83771456013932,2397.211,0.036579706,0.010559671,0,0,65009,16741.0,1570.2631,0,4190,12000.0,16797,16741,-1574,5480,91,30,1,318,6022,
1551155574,.352,-106.21645362204343,39.961194037396936,2396.9023,2398.0217,-1.1552732499999365,,14,1.1272392590249392,-2.1635152429893445,-117.95014416369837,-0.015505745,-0.0664569,-1.0039469,1.0062635,-1.0291716,-0.7710391,-17.750393,17.796913,0.015321984,-0.0023712534,0.035928946,0.03913151,0.01550438782074879,-386,618,1344,1528.0,64.97,-117.95014416369837,2.4390680503867395,-90.43776686089748,27.51237730280088,242.04985583630162,-126.4542301789006,-8.504086015202233,9.053170335207028E-4,-4.91042184567192E-4,0.014374356265648203,-0.014374356265648203,NaN,NaN,NaN,NaN,NaN,NaN,39.96119403410045,-106.21645369821543,false,false,-575.7265413955552,-562.3430882441779,-67.84897530996624,,227.32714485465996,,,0.515135,-0.011108421,-0.018158156,-0.85684466,0.15932225,0.029139433,0.07194996,0.0053318157,-0.008595866,0.0017717519,100,4689,0,0,64635,-106.2164536,39.961194,20180619,200827,2018-06-19T20:08:27Z,2485.664,0.75,1.27,7.3,8,6,14,0.01,0.0,0.01,20180619,200827,16270,0.0,0.0,0.0,0.0,ASST_TAKEOFF,2,1,5,5,0,400,805,-3.371286,-16.418726,1.0,6,1,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65536,16,10,35,0,false,false,false,false,false,false,false,false,false,false,0.04,-0.04,-0.05,0.022697825,-0.0823496,0.0031210138,0.001689161,0.0,0.0,0.0016891538,0.0,0.0016891042,1.05572566E-4,0.0,0.34189504,1.05572115E-4,0.0,1.05569015E-4,,1000000.0,267,279,226,227,74,56,50,73,59.635418,59.947918,59.791668,59.635418,59.270832,59.270832,59.270832,59.270832,0.1,0.1,0.1,0.1,1644.1,1647.8,1647.8,1644.7,10.84,9.98,10.7,11.15,0,0,0,0,0.099,2.13,2.13,2.13,2.13,0.32699266,-0.014507138,-0.015176914,-0.9447936,2.1872567399739076,-1.0027145081295743,141.83771456013932,2397.211,0.036579706,0.010559671,0,0,65009,16741.0,1570.2631,0,4190,12000.0,16797,16741,-1574,5480,91,30,1,318,6022,
1551321638,.389,-106.21645362204343,39.961194037396936,2396.9023,2398.0217,-1.1552732499999365,,14,1.1272392590249392,-2.1635152429893445,-117.95014416369837,-0.015505745,-0.0664569,-1.0039469,1.0062635,-1.0291716,-0.7710391,-17.750393,17.796913,0.015321984,-0.0023712534,0.035928946,0.03913151,0.01550438782074879,-386,618,1344,1528.0,64.97,-117.95014416369837,2.4390680503867395,-90.43776686089748,27.51237730280088,242.04985583630162,-126.4542301789006,-8.504086015202233,9.053170335207028E-4,-4.91042184567192E-4,0.014374356265648203,-0.014374356265648203,NaN,NaN,NaN,NaN,NaN,NaN,39.96119403410045,-106.21645369821543,false,false,-575.7265413955552,-562.3430882441779,-67.84897530996624,,227.32714485465996,,,0.515135,-0.011108421,-0.018158156,-0.85684466,0.15932225,0.029139433,0.07194996,0.0053318157,-0.008595866,0.0017717519,100,4689,0,0,64635,-106.2164536,39.961194,20180619,200827,2018-06-19T20:08:27Z,2485.659,0.75,1.27,7.3,8,6,14,-0.01,0.0,0.03,20180619,200827,16270,0.0,0.0,0.0,0.0,ASST_TAKEOFF,2,1,5,5,0,400,805,-3.371286,-16.418726,1.0,6,1,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65536,16,10,35,0,false,false,false,false,false,false,false,false,false,false,0.03,-0.02,-0.06,0.02269857,-0.082348175,0.0031211772,0.0016886429,0.0,0.0,0.0016885486,0.0,0.0016885856,1.0554018E-4,0.0,0.34150717,1.0553429E-4,0.0,1.055366E-4,,1000000.0,267,279,226,227,74,56,50,73,59.635418,59.947918,59.791668,59.635418,59.270832,59.270832,59.270832,59.270832,0.1,0.1,0.1,0.1,1644.1,1647.8,1647.8,1644.7,10.84,9.98,10.7,11.15,0,0,0,0,0.099,2.13,2.13,2.13,2.13,0.32699266,-0.014507138,-0.015176914,-0.9447936,2.1872567399739076,-1.0027145081295743,141.83771456013932,2397.211,0.036579706,0.010559671,0,0,65009,16741.0,1570.2631,0,4190,12000.0,16797,16741,-1574,5480,91,30,1,318,6022,
1551503920,.429,-106.21645362128369,39.96119404194355,2396.44,2398.009,-1.6176755937499365,,14,1.1064775535953233,-2.1916771496534464,-117.8026675382875,-0.06378325,0.024505196,-1.0134343,1.0157351,0.3906642,-0.26099777,5.234946,5.2559867,0.008703623,-0.0032450943,0.04109267,0.042129457,0.009288901420384521,-375,609,1367,1542.0,64.97,-117.8026675382875,2.4546598311763232,-91.02392554788472,26.77874199040278,242.1973324617125,-126.27204825127177,-8.469380712984275,0.0021550621201882336,-7.831889367615474E-4,0.018380806062111787,-0.018380806062111787,0.0052270509061758405,0.0015602985555475603,0.04219162027541752,-0.0034765720608289355,0.0048053928809409984,0.001098948821464732,39.96119404533968,-106.21645370164323,false,false,-576.3775600616223,-562.3763016187035,-67.90265899212373,,227.32765454509942,,,0.5162368,-0.011389043,-0.01814422,-0.856178,0.18538961,0.0051956214,-0.03485775,0.005347187,-0.008587371,0.0017702592,100,4690,0,0,64675,-106.2164536,39.961194,20180619,200827,2018-06-19T20:08:27Z,2485.659,0.75,1.27,7.3,8,6,14,-0.01,0.0,0.03,20180619,200827,16270,0.0,0.0,0.0,0.0,ASST_TAKEOFF,2,1,5,5,0,400,805,-3.371286,-16.418726,1.0,6,1,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65536,16,10,35,0,false,false,false,false,false,false,false,false,false,false,0.03,-0.02,-0.06,0.02269857,-0.082348175,0.0031211772,0.0016886429,0.0,0.0,0.0016885486,0.0,0.0016885856,1.0554018E-4,0.0,0.34150717,1.0553429E-4,0.0,1.055366E-4,,1000000.0,267,279,226,227,74,56,50,73,59.635418,59.947918,59.791668,59.635418,59.270832,59.270832,59.270832,59.270832,0.1,0.1,0.1,0.1,1644.1,1647.8,1647.8,1644.7,10.84,9.98,10.7,11.15,0,0,0,0,0.099,2.79,2.79,2.79,2.79,0.3263983,-0.0146221155,-0.015272489,-0.9449959,2.2012804580843666,-1.0129785653826233,141.90998624249067,2397.129,0.07609261,0.096739314,0,0,65109,16697.0,1570.2631,0,4190,12000.0,16709,16697,-1574,5480,91,30,1,318,6022,
